Generated for com.unity.probuilder@file:/Users/amylouise/Documents/gitmore/com.unity.probuilder
Generated on: 2021-09-15 12:22:21 PM
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.Actions.CutToolToggle.yml#L2)Invalid file link:(~/manual/toolbar.html#toolbar-display-modes).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.Actions.CutToolToggle.yml#L2)Invalid file link:(~/manual/cut-tool.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.QuadUtility.yml#L2)Invalid file link:(~/manual/gloss.html#quad).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.MergeElements.yml#L5)Invalid file link:(~/manual/Face_Merge.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.MergeElements.yml#L7)Invalid file link:(~/manual/Face_Merge.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Arch.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Cone.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Pipe.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Cube.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Plane.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Prism.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Cylinder.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Sphere.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Door.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Stair.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Stair.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Sprite.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeType.yml#L2)Invalid file link:(~/manual/Torus.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.ShapeGenerator.yml#L4)Invalid file link:(~/manual/shape-tool.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.VertexEditing.yml#L4)Invalid file link:(~/manual/Vert_Collapse.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.VertexEditing.yml#L4)Invalid file link:(~/manual/Vert_Split.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.VertexEditing.yml#L4)Invalid file link:(~/manual/Vert_Split.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.VertexEditing.yml#L5)Invalid file link:(~/manual/Vert_Weld.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.ProBuilderEditor.yml#L5)Invalid file link:(~/manual/toolbar.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.ProBuilderEditor.yml#L4)Invalid file link:(~/manual/edit-mode-toolbar.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.MenuAction.yml#L2)Invalid file link:(~/manual/toolbar.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.MenuAction.yml#L2)Invalid file link:(~/manual/toolbar.html#toolbar-display-modes).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.MenuAction.yml#L2)Invalid file link:(~/manual/toolbar.html#toolbar-display-modes).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.MenuToolToggle.yml#L2)Invalid file link:(~/manual/toolbar.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.MenuToolToggle.yml#L2)Invalid file link:(~/manual/toolbar.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.MenuToolToggle.yml#L2)Invalid file link:(~/manual/toolbar.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Face.yml#L3)Invalid file link:(~/manual/workflow-uvs.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Face.yml#L3)Invalid file link:(~/manual/workflow-uvs.html#continuous-tiling).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Face.yml#L2)Invalid file link:(~/manual/workflow-uvs.html#auto-uv-mode-features).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.AppendElements.yml#L4)Invalid file link:(~/manual/Edge_Bridge.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.AppendElements.yml#L4)Invalid file link:(~/manual/Edge_Subdivide.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.AppendElements.yml#L4)Invalid file link:(~/manual/Vert_Connect.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.SceneSelection.yml#L2)Invalid file link:(~/manual/modes.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.SceneSelection.yml#L2)Invalid file link:(~/manual/modes.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.SceneSelection.yml#L2)Invalid file link:(~/manual/modes.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.SceneSelection.yml#L2)Invalid file link:(~/manual/modes.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.SurfaceTopology.yml#L5)Invalid file link:(~/manual/Face_ConformNormals.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.SurfaceTopology.yml#L12)Invalid file link:(~/manual/Face_FlipTri.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.SurfaceTopology.yml#L2)Invalid file link:(~/manual/gloss.html#winding).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ElementSelection.yml#L4)Invalid file link:(~/manual/Selection_Loop_Face.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ElementSelection.yml#L3)Invalid file link:(~/manual/Selection_Loop_Face.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ElementSelection.yml#L5)Invalid file link:(~/manual/Selection_Ring_Face.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ElementSelection.yml#L4)Invalid file link:(~/manual/Selection_Ring_Face.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ElementSelection.yml#L3)Invalid file link:(~/manual/Selection_Grow.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ElementSelection.yml#L4)Invalid file link:(~/manual/Selection_Grow.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.MeshValidation.yml#L2)Invalid file link:(~/manual/gloss.html#degenerate).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.MeshValidation.yml#L2)Invalid file link:(~/manual/gloss.html#degenerate).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.MeshValidation.yml#L2)Invalid file link:(~/manual/gloss.html#degenerate).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.DeleteElements.yml#L4)Invalid file link:(~/manual/Face_Delete.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.DeleteElements.yml#L4)Invalid file link:(~/manual/Face_Delete.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.DeleteElements.yml#L4)Invalid file link:(~/manual/Face_Delete.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Prism.yml#L2)Invalid file link:(~/manual/Prism.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Plane.yml#L2)Invalid file link:(~/manual/Plane.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Arch.yml#L2)Invalid file link:(~/manual/Arch.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Door.yml#L2)Invalid file link:(~/manual/Door.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Cylinder.yml#L2)Invalid file link:(~/manual/Cylinder.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Pipe.yml#L2)Invalid file link:(~/manual/Pipe.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.SharedVertex.yml#L2)Invalid file link:(~/manual/gloss.html#coincident).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Vertex.yml#L2)Invalid file link:(~/manual/workflow-vertexcolors.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ConnectElements.yml#L4)Invalid file link:(~/manual/Edge_Connect.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ConnectElements.yml#L5)Invalid file link:(~/manual/Edge_Connect.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ConnectElements.yml#L4)Invalid file link:(~/manual/Edge_Connect.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.ToolbarGroup.yml#L2)Invalid file link:(~/manual/toolbar.html#category).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Sprite.yml#L2)Invalid file link:(~/manual/Sprite.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.EdgeLookup.yml#L5)Invalid file link:(~/manual/gloss.html#coincident).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.PolyShapeTool.yml#L2)Invalid file link:(~/manual/toolbar.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEditor.ProBuilder.PolyShapeTool.yml#L2)Invalid file link:(~/manual/polyshape.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.Bevel.yml#L4)Invalid file link:(~/manual/Edge_Bevel.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ExtrudeElements.yml#L4)Invalid file link:(~/manual/Face_Extrude.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ExtrudeElements.yml#L4)Invalid file link:(~/manual/Edge_Extrude.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ExtrudeElements.yml#L4)Invalid file link:(~/manual/Face_Detach.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ExtrudeElements.yml#L5)Invalid file link:(~/manual/Face_Detach.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.MeshOperations.ExtrudeElements.yml#L1)Invalid file link:(~/manual/gloss.html#manifold).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ManagedReferenceDocumentProcessor.Save](api/UnityEngine.ProBuilder.Shapes.Sphere.yml#L2)Invalid file link:(~/manual/Sphere.html).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L69)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/Edge_InsertLoop).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L34)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/workflow-create-predefined).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L45)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/workflow-exporting).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L46)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/ref_actions).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L30)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/menu-export).
[21-09-15 04:20:50.937]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L64)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/Face_FlipTri).
[21-09-15 04:20:50.938]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L11)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/tool-panels).
[21-09-15 04:20:50.938]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L29)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/menu-debug).
[21-09-15 04:20:50.938]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L102)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/Object_Triangulate).
[21-09-15 04:20:50.938]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L122)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/material-tools).
[21-09-15 04:20:50.938]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L1)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/index).
[21-09-15 04:20:50.938]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L27)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/menu-experimental).
[21-09-15 04:20:50.938]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L137)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/api).
[21-09-15 04:20:50.938]Warning:[BuildCommand.BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save](Packages/com.unity.probuilder/Documentation~/TableOfContents.md#L111)Invalid file link:(~/Packages/com.unity.probuilder/Documentation~/Cylinder).
